ETHBTC Close,TRXBTC Close,TRXETH Close,NormalizedTRXETH,PriceDiff,Movement
0.090388,0.00000941,0.00010434,9.43108E-06,-0.002235578,-0.008050604
0.090372,0.00000931,0.0001035,9.3535E-06,-0.004650878,-0.019323671
0.090303,0.00000919,0.0001015,9.16575E-06,0.002645227,0.004334975
0.090395,0.00000919,0.00010194,9.21487E-06,-0.002698498,0.000294291
0.090561,0.00000925,0.00010197,9.23451E-06,0.001677927,-0.000196136
0.090494,0.00000919,0.00010195,9.22586E-06,-0.003887257,-0.025993134
0.090479,0.00000895,0.0000993,8.98456E-06,-0.00384712,0.016918429
0.09057,0.0000091,0.00010098,9.14576E-06,-0.005003259,-0.026836997
0.090493,0.00000897,0.00009827,8.89275E-06,0.008687179,0.018622163
0.09038,0.00000906,0.0001001,9.04704E-06,0.001432734,-0.001298701
0.090459,0.00000902,0.00009997,9.04319E-06,-0.002563945,0.015404621
0.09044,0.0000092,0.00010151,9.18056E-06,0.002117038,-0.009752734
0.090475,0.00000911,0.00010052,9.09455E-06,0.00169915,0.009948269
0.090402,0.00000922,0.00010152,9.17761E-06,0.004618736,0.011623325
0.090521,0.00000925,0.0001027,9.29651E-06,-0.0050026,0.00194742
0.090482,0.00000933,0.0001029,9.3106E-06,0.002083883,-0.005830904
0.090537,0.00000925,0.0001023,9.26194E-06,-0.001288618,-0.004887586
0.09067,0.00000915,0.0001018,9.23021E-06,-0.008689514,-0.015422397
0.090671,0.00000913,0.00010023,9.08795E-06,0.004626527,0.010176594
0.090768,0.0000092,0.00010125,9.19026E-06,0.001059818,0.003851852
0.090811,0.00000918,0.00010164,9.23003E-06,-0.005420355,-0.003148367
0.090766,0.00000921,0.00010132,9.19641E-06,0.001477629,0.004342677
0.090778,0.00000926,0.00010176,9.23757E-06,0.002428206,0.005994497
0.090679,0.00000929,0.00010237,9.28281E-06,0.000774633,0.000781479
0.0907,0.00000928,0.00010245,9.29222E-06,-0.001314541,0.006344558
0.090857,0.00000935,0.0001031,9.36736E-06,-0.001852892,0.006207565
0.091017,0.0000094,0.00010374,9.4421E-06,-0.004459131,-0.006940428
0.090941,0.0000094,0.00010302,9.36874E-06,0.003336433,0.009512716
0.090781,0.00000946,0.000104,9.44122E-06,0.001988725,0.000480769
0.0909,0.00000942,0.00010405,9.45815E-06,-0.004033032,-0.013935608
0.090961,0.00000938,0.0001026,9.3326E-06,0.005079121,0.008674464
0.090926,0.0000094,0.00010349,9.40993E-06,-0.001055453,0.006860566
0.091001,0.00000949,0.0001042,9.4823E-06,0.000811596,0.002879079
0.090998,0.0000095,0.0001045,9.50929E-06,-0.000977044,0.00277512
0.091016,0.00000951,0.00010479,9.53757E-06,-0.002890322,-0.000858861
0.09099,0.0000095,0.0001047,9.52665E-06,-0.00279773,-0.004775549
0.09084,0.00000947,0.0001042,9.46553E-06,0.000472451,0
0.090896,0.00000946,0.0001042,9.47136E-06,-0.001199743,0.00268714
0.090744,0.00000947,0.00010448,9.48093E-06,-0.001153169,-0.009379786
0.090298,0.00000931,0.0001035,9.34584E-06,-0.003835181,0.003768116
0.090263,0.00000939,0.00010389,9.37742E-06,0.001341193,-0.000866301
0.09027,0.00000934,0.0001038,9.37003E-06,-0.003204473,-0.01300578
0.090236,0.00000925,0.00010245,9.24468E-06,0.000575661,0.004685212
0.090191,0.00000928,0.00010293,9.28336E-06,-0.000361898,0.005634898
0.090191,0.00000935,0.00010351,9.33567E-06,0.001534929,0.004540624
0.090209,0.00000938,0.00010398,9.37993E-06,7.26871E-06,-9.61723E-05
0.09021,0.00000935,0.00010397,9.37913E-06,-0.003106225,-0.010579975
0.090231,0.0000093,0.00010287,9.28206E-06,0.00193244,0.003596773
0.090309,0.0000093,0.00010324,9.3235E-06,-0.002520637,-0.002421542
0.090209,0.00000928,0.00010299,9.29062E-06,-0.001143616,-0.000679678
0.090311,0.00000926,0.00010292,9.29481E-06,-0.003744899,-0.003497862
0.090188,0.00000924,0.00010256,9.24968E-06,-0.001046661,-0.005460218
0.090252,0.00000919,0.000102,9.2057E-06,-0.001705899,-0.019411765
0.090235,0.00000909,0.00010002,9.0253E-06,0.007168212,-0.00229954
0.0902,0.00000896,0.00009979,9.00106E-06,-0.004561464,-0.002805892
0.09025,0.000009,0.00009951,8.98078E-06,0.002140405,-0.004321174
0.090152,0.00000893,0.00009908,8.93226E-06,-0.000253033,-0.010092854
0.09015,0.00000889,0.00009808,8.84191E-06,0.005438643,0.020799347
0.090122,0.00000908,0.00010012,9.02301E-06,0.006315557,0.000499401
0.09023,0.00000903,0.00010017,9.03834E-06,-0.000922636,0.017969452
0.090331,0.00000919,0.00010197,9.21105E-06,-0.002285523,-0.014416005
0.090417,0.00000908,0.0001005,9.08691E-06,-0.00076027,0.004577114
0.09044,0.00000914,0.00010096,9.13082E-06,0.001005123,-0.004655309
0.090503,0.00000906,0.00010049,9.09465E-06,-0.003809546,-0.004876107
0.090597,0.00000906,0.0001,9.0597E-06,3.31137E-05,-0.0144
0.090595,0.00000893,0.00009856,8.92904E-06,0.000107156,0.007508117
0.090586,0.00000902,0.0000993,8.99519E-06,0.002758163,-0.001007049
0.090461,0.00000896,0.0000992,8.97373E-06,-0.001530155,0.006552419
0.090639,0.00000902,0.00009985,9.0503E-06,-0.003348412,0.000500751
0.090657,0.00000907,0.0000999,9.05663E-06,0.001475791,-0.000600601
0.090793,0.000009,0.00009984,9.06477E-06,-0.007145586,-0.013621795
0.090833,0.00000895,0.00009848,8.94523E-06,0.000532816,0.009748172
0.090862,0.00000905,0.00009944,9.03532E-06,0.001625036,-0.003419147
0.090865,0.00000891,0.0000991,9.00472E-06,-0.010519093,-0.009283552
0.090955,0.00000894,0.00009818,8.92996E-06,0.001124092,-0.001833367
0.091112,0.00000893,0.000098,8.92898E-06,0.000114683,-0.005102041
0.091451,0.00000895,0.0000975,8.91647E-06,0.003760175,0.006974359
0.091288,0.00000899,0.00009818,8.96266E-06,0.003050899,0.006620493
0.091344,0.00000902,0.00009883,9.02753E-06,-0.000833841,-0.004350906
0.091391,0.00000898,0.0000984,8.99287E-06,-0.001431622,-0.00995935
0.091427,0.00000895,0.00009742,8.90682E-06,0.004848158,-0.00739068
0.091481,0.0000089,0.0000967,8.84621E-06,0.006080263,-0.007032058
0.091586,0.00000881,0.00009602,8.79409E-06,0.001809429,-0.001874609
0.091669,0.00000881,0.00009584,8.78556E-06,0.002782184,0.005634391
0.091854,0.00000883,0.00009638,8.85289E-06,-0.00258543,0.005810334
